ïagno;rbd;dgv_rbd;nom_rbd;cod_depe;cod_depe2;rural_rbd;cod_reg_rbd;cod_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;estado_estab;mat_si_1;mat_hom_1;mat_muj_1;mat_ens_1;mat_si_2;mat_hom_2;mat_muj_2;mat_ens_2;mat_hom_3;mat_muj_3;mat_ens_3;mat_si_4;mat_hom_4;mat_muj_4;mat_ens_4;mat_hom_5;mat_muj_5;mat_ens_5;mat_hom_6;mat_muj_6;mat_ens_6;mat_hom_7;mat_muj_7;mat_ens_7;mat_si_8;mat_hom_8;mat_muj_8;mat_ens_8;mat_hom_tot;mat_muj_tot;mat_si_tot;mat_total;cur_sim_01;cur_sim_02;cur_sim_03;cur_sim_04;cur_sim_05;cur_sim_06;cur_sim_07;cur_sim_08;cur_sim_tot;cur_comb_01;cur_comb_02;cur_comb_tot
2016;79;5;ESCUELA EL MARQUEZ;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;0;0;0;0;9;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;0;14;0;2;0;0;0;0;0;0;2;0;2;2
2016;81;7;ESCUELA PAYACHATAS;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;0;0;0;0;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;5;0;0;0;0;0;0;0;0;0;0;1;1
2016;82;5;ESCUELA SAN FRANCISCO DE ASIS;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;0;0;0;0;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;5;0;3;0;0;0;0;0;0;3;0;0;0
2016;83;3;ESCUELA COTA COTANI;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;0;0;0;0;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;5;0;5;0;0;0;0;0;0;5;0;0;0
2016;84;1;ESCUELA LOS ALAMOS;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;3;0;0;0;0;0;0;3;0;0;0
2016;86;8;ESCUELA SAN SANTIAGO DE BELEN;2;1;1;15;152;15201;PUTRE;151;ARICA;1;0;0;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;4;0;0;0;0;0;0;4;0;0;0
2016;87;6;ESCUELA ANCOLACANE;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
2016;88;4;ESCUELA ALCERRECA;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
2016;89;2;ESCUELA HUMAPALCA;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2016;90;6;ESCUELA INTERNADO VISVIRI;2;1;1;15;152;15202;GENERAL LAGOS;151;ARICA;1;0;0;0;0;0;14;14;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;14;0;28;0;2;0;0;0;0;0;0;2;0;3;3
