
=====================================================================================================================================================
                                                                                     Model 1
(Conviviality)  Model 2
(Identity)   Model 3
(Threat)   
-----------------------------------------------------------------------------------------------------------------------------------------------------
Cov: comuna quintil1Q4 quintil1QNA                                                       0.00                    0.00                 0.01           
Cov: comuna quintil1Q4 know_inm_t1t4Stable, know                                        -0.00                   -0.01                 0.01           
Cov: comuna quintil1Q4 know_inm_t1t4Now know                                             0.00                   -0.00                 0.02           
Cov: comuna quintil1Q4 know_inm_t1t4No longer know                                      -0.00                    0.00                 0.01           
Cov: comuna quintil1Q4 frien_inm_t1t4Stable, have friends                                0.00                    0.01                -0.00           
Cov: comuna quintil1Q4 frien_inm_t1t4Now have friends                                   -0.00                    0.01                -0.01           
Cov: comuna quintil1Q4 frien_inm_t1t4No longer have friends                              0.00                    0.01                 0.01           
Cov: comuna quintil1Q3 quintil1Q2                                                        0.02                    0.01                 0.02           
Cov: comuna quintil1Q3 quintil1Q1                                                        0.00                    0.01                 0.03           
Cov: comuna quintil1Q3 quintil1QNA                                                       0.02                    0.02                -0.01           
Cov: comuna quintil1Q3 know_inm_t1t4Stable, know                                        -0.00                    0.01                 0.04           
Cov: comuna quintil1Q3 know_inm_t1t4Now know                                             0.00                    0.03                 0.04           
Cov: comuna quintil1Q3 know_inm_t1t4No longer know                                       0.00                    0.03                 0.03           
Cov: comuna quintil1Q3 frien_inm_t1t4Stable, have friends                                0.00                    0.00                 0.01           
Cov: comuna quintil1Q3 frien_inm_t1t4Now have friends                                   -0.00                   -0.01                -0.05           
Cov: comuna quintil1Q3 frien_inm_t1t4No longer have friends                              0.00                   -0.01                -0.01           
Cov: comuna quintil1Q2 quintil1Q1                                                        0.00                    0.01                 0.05           
Cov: comuna quintil1Q2 quintil1QNA                                                       0.01                    0.02                 0.09           
Cov: comuna quintil1Q2 know_inm_t1t4Stable, know                                        -0.01                    0.01                 0.05           
Cov: comuna quintil1Q2 know_inm_t1t4Now know                                             0.00                    0.01                 0.01           
Cov: comuna quintil1Q2 know_inm_t1t4No longer know                                       0.01                    0.01                -0.00           
Cov: comuna quintil1Q2 frien_inm_t1t4Stable, have friends                                0.00                    0.01                 0.01           
